iter	Logloss
111	0.1604933406
112	0.1586676531
113	0.1549200901
114	0.1529659338
115	0.1510071865
116	0.1500295373
117	0.1492503854
118	0.1464586702
119	0.1446072002
120	0.1435262547
121	0.1404567652
122	0.1398816663
123	0.1376596495
124	0.1347521959
125	0.1326517061
126	0.1306422478
127	0.1284722617
128	0.1266624096
129	0.1242441355
130	0.1232593891
131	0.1228964384
132	0.1209971406
133	0.1197450882
134	0.1181050456
135	0.1149743879
136	0.1128109666
137	0.1118828751
138	0.1105105821
139	0.1092612133
140	0.1082543661
141	0.1063242846
142	0.1043986165
143	0.1025600212
144	0.1005355924
145	0.09968235326
146	0.09736794095
147	0.09597363583
148	0.0954381477
149	0.09442527904
150	0.0934367069
151	0.09310315376
152	0.09269622315
153	0.09092597074
154	0.08916824363
155	0.08883101441
156	0.08818680741
157	0.08720655219
158	0.08698830494
159	0.0854519467
160	0.08482370266
161	0.0837633388
162	0.08352880145
163	0.0829943668
164	0.08207099382
165	0.08140789076
166	0.08059582045
167	0.07924319423
168	0.07858576331
169	0.07734470589
170	0.07669587468
171	0.07579193004
172	0.07482997761
173	0.07395849671
174	0.07313575301
175	0.07252783554
176	0.07209194538
177	0.07139706057
178	0.07047029983
179	0.06999938433
180	0.06913633679
181	0.06878903855
182	0.0686793161
183	0.06761988928
184	0.06658226945
185	0.06601728949
186	0.06549411596
187	0.06507880189
188	0.064812261
189	0.06429297425
190	0.06363292073
191	0.06284278493
192	0.06233880686
193	0.06193953337
194	0.06159104857
195	0.06100216577
196	0.06067311487
197	0.06033685595
198	0.05974659254
199	0.05904336308
200	0.058443075
201	0.05751362512
202	0.0570830578
203	0.05603479785
204	0.05544026508
205	0.05488151173
206	0.05468242113
207	0.05441739947
208	0.05414692746
209	0.05403732145
210	0.05359792709
211	0.05321339119
212	0.05247090584
213	0.05199400214
214	0.05138483158
215	0.05104735286
216	0.05063245463
217	0.05001515011
218	0.04956494376
219	0.04867881952
220	0.04836737832
221	0.04786776387
222	0.0473748196
223	0.04701219603
224	0.04671345201
225	0.04656744558
226	0.04641601374
227	0.04570087167
228	0.04545245614
229	0.0449668474
230	0.04476274446
231	0.04412058897
232	0.04359655325
233	0.04352855128
234	0.04325247643
235	0.04262329811
236	0.04238426408
237	0.04197053577
238	0.04144048691
239	0.04100045492
240	0.0406911789
241	0.04054875429
242	0.04018693192
243	0.04012285554
244	0.03989644383
245	0.03963117544
246	0.03924110601
247	0.03897796675
248	0.03869157336
249	0.03821861467
250	0.03807236427
251	0.03784757159
252	0.03745346568
253	0.03728287442
254	0.0370216536
255	0.03676723602
256	0.03633218033
257	0.03627994726
258	0.03590662812
259	0.03570661434
260	0.03541008816
261	0.03511809194
262	0.03504788598
263	0.03500864118
264	0.03471567742
265	0.03442367288
266	0.03429923501
267	0.03397469742
268	0.03383721584
269	0.03357730633
270	0.03330459983
271	0.03323961136
272	0.03298828491
273	0.03280509904
274	0.0326024682
275	0.03238203359
276	0.03219803544
277	0.03205785918
278	0.03201037784
279	0.03176866021
280	0.03153847816
281	0.03127599317
282	0.03112107931
283	0.03084000044
284	0.03076841665
285	0.03055070167
286	0.03037128338
287	0.03018955852
288	0.02996947045
289	0.02968779276
290	0.02942697392
291	0.02935960958
292	0.02903163433
293	0.02874491381
294	0.02864017875
295	0.02842212001
296	0.02821214255
297	0.02809322712
298	0.0279339441
299	0.02790522575
300	0.02785965731
301	0.02771362039
302	0.02764683269
303	0.02757789922
304	0.02721673389
305	0.02697192791
306	0.0268542323
307	0.02669455562
308	0.02648801027
309	0.02626796656
310	0.02615244444
311	0.02590983967
312	0.02575003546
313	0.02557546593
314	0.02546208127
315	0.02525260005
316	0.02501902469
317	0.02481454195
318	0.02465753223
319	0.0246278602
320	0.02443413402
321	0.02427124145
322	0.02406869378
323	0.02401940213
324	0.02382895558
325	0.02366833354
326	0.02354483549
327	0.02341627243
328	0.02332524089
329	0.02318437571
330	0.02308507576
331	0.02292775415
332	0.02271963968
333	0.02260817761
334	0.02247779453
335	0.02235225328
336	0.02220795182
337	0.02208629458
338	0.02196286584
339	0.02181260114
340	0.02165068859
341	0.02157322335
342	0.02151248206
343	0.02131110568
344	0.0212010769
345	0.02114463546
346	0.02106509098
347	0.02097086851
348	0.02088421306
349	0.02075546425
350	0.02070835025
351	0.02067365341
352	0.02056703457
353	0.02048937803
354	0.02036693207
355	0.02027044463
356	0.02017431897
357	0.02009167228
358	0.01999569078
359	0.01992186003
360	0.01985995575
361	0.01977272366
362	0.01962659248
363	0.01950920183
364	0.01939817223
365	0.01923803119
366	0.01911780446
367	0.01903589936
368	0.01893627921
369	0.01891697701
370	0.01884449499
371	0.01883015245
372	0.01876039699
373	0.01869421227
374	0.01862428077
375	0.01857524556
376	0.01848830456
377	0.01845635647
378	0.01834912494
379	0.0182712189
380	0.01822386509
381	0.01811329709
382	0.0180407111
383	0.01792721693
384	0.01787685516
385	0.01785690979
386	0.01778123268
387	0.01768278521
388	0.01766251963
389	0.01760132923
390	0.01757783807
391	0.01750630556
392	0.01743833132
393	0.01735470184
394	0.0172990117
395	0.01719033995
396	0.01714019443
397	0.01712087836
398	0.0171175613
399	0.01705659822
400	0.01701660212
401	0.01691602552
402	0.0168496606
403	0.01676139721
404	0.01671750878
405	0.0166467553
406	0.01656979184
407	0.01651025096
408	0.01643024212
409	0.01633449211
410	0.01627457974
411	0.01623677098
412	0.01616229152
413	0.01610671642
414	0.01609419529
415	0.01602218595
416	0.01598013279
417	0.01588826263
418	0.01584854237
419	0.01575332464
420	0.01571299586
421	0.01562065718
422	0.01553786633
423	0.015496351
424	0.0154512982
425	0.01536828141
426	0.01531443485
427	0.01525210503
428	0.01522333955
429	0.01519122512
430	0.01511838131
431	0.01509246161
432	0.01499505098
433	0.01494406822
434	0.01492465374
435	0.01484144843
436	0.014758695
437	0.01471740146
438	0.01463856947
439	0.01455181283
440	0.01447741791
441	0.01442375848
442	0.01434880356
443	0.01426314753
444	0.01424954242
445	0.01417627307
446	0.01410015655
447	0.01404135172
448	0.01402057188
449	0.0139839372
450	0.0139621621
451	0.01389616035
452	0.0138592124
453	0.01377678056
454	0.01375639993
455	0.01367213144
456	0.01362108768
457	0.01357929928
458	0.01353040961
459	0.01349646962
460	0.01347013407
461	0.01340577214
462	0.01333890543
463	0.01330959242
464	0.01328051783
465	0.01322849961
466	0.01319349089
467	0.01316460621
468	0.01312674478
469	0.01307568716
470	0.01304615791
471	0.01302360102
472	0.01293687488
473	0.01288757352
474	0.01283507846
475	0.01273482345
476	0.01269718658
477	0.01267212213
478	0.01262955333
479	0.0125981001
480	0.01252394776
481	0.01246010564
482	0.01242634862
483	0.01240083506
484	0.01235322758
485	0.01229583385
486	0.01223707476
487	0.01221715572
488	0.01220291437
489	0.01214807948
490	0.01210497701
491	0.01203579819
492	0.01200840224
493	0.01197135448
494	0.01193482654
495	0.01189650214
496	0.01183932188
497	0.01177534392
498	0.01174364534
499	0.01170519618
